time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,16,6,0,0
2026-06-11 00:00:00+00:00,23,8,0,0
2026-06-12 00:00:00+00:00,46,16,0,0
2026-06-13 00:00:00+00:00,23,8,0,0
2026-06-14 00:00:00+00:00,39,10,0,0
2026-06-15 00:00:00+00:00,18,6,0,0
2026-06-16 00:00:00+00:00,9,4,0,0
2026-06-17 00:00:00+00:00,26,8,0,0
2026-06-18 00:00:00+00:00,48,16,0,0
2026-06-19 00:00:00+00:00,52,16,0,0
2026-06-20 00:00:00+00:00,36,10,0,0
2026-06-21 00:00:00+00:00,51,15,0,0
2026-06-22 00:00:00+00:00,51,14,0,0
2026-06-23 00:00:00+00:00,48,15,0,0
